iter	Passed	Remaining
0	39	19688
1	72	18114
2	107	17885
3	141	17545
4	173	17127
5	203	16759
6	235	16581
7	266	16384
8	298	16279
9	330	16200
10	363	16145
11	392	15960
12	424	15909
13	456	15861
14	491	15907
15	525	15902
16	556	15808
17	591	15836
18	624	15806
19	655	15731
20	685	15646
21	718	15619
22	752	15609
23	785	15580
24	817	15527
25	848	15461
26	879	15416
27	911	15371
28	941	15290
29	970	15207
30	1001	15152
31	1030	15066
32	1058	14977
33	1088	14922
34	1118	14861
35	1149	14819
36	1181	14779
37	1212	14737
38	1242	14692
39	1273	14639
40	1302	14584
41	1332	14534
42	1364	14506
43	1395	14459
44	1426	14426
45	1459	14400
46	1490	14369
47	1520	14313
48	1551	14281
49	1582	14245
50	1613	14206
51	1644	14167
52	1676	14141
53	1710	14125
54	1741	14089
55	1771	14045
56	1800	13992
57	1829	13942
58	1859	13896
59	1891	13868
60	1919	13813
61	1950	13780
62	1980	13739
63	2011	13706
64	2042	13665
65	2074	13642
66	2107	13618
67	2139	13589
68	2169	13552
69	2200	13519
70	2230	13478
71	2262	13446
72	2293	13413
73	2324	13379
74	2350	13321
75	2383	13294
76	2417	13278
77	2450	13258
78	2485	13246
79	2521	13236
80	2554	13214
81	2585	13180
82	2621	13168
83	2650	13125
84	2680	13089
85	2714	13068
86	2750	13054
87	2781	13022
88	2814	12997
89	2846	12967
90	2876	12928
91	2908	12897
92	2938	12861
93	2969	12825
94	3001	12795
95	3042	12803
96	3085	12821
97	3119	12796
98	3149	12757
99	3179	12718
100	3212	12689
101	3247	12671
102	3276	12629
103	3306	12591
104	3336	12551
105	3369	12525
106	3401	12492
107	3435	12468
108	3472	12457
109	3506	12432
110	3536	12392
111	3569	12365
112	3600	12330
113	3635	12310
114	3667	12278
115	3702	12255
116	3740	12244
117	3777	12228
118	3812	12204
119	3845	12178
120	3877	12144
121	3910	12117
122	3943	12086
123	3973	12048
124	4004	12014
125	4035	11978
126	4064	11937
127	4097	11908
128	4127	11870
129	4158	11835
130	4189	11799
131	4220	11767
132	4254	11739
133	4286	11707
134	4317	11671
135	4347	11634
136	4376	11596
137	4410	11568
138	4446	11547
139	4480	11521
140	4513	11491
141	4546	11462
142	4576	11425
143	4609	11395
144	4639	11359
145	4673	11331
146	4707	11305
147	4743	11282
148	4776	11251
149	4809	11221
150	4840	11188
151	4874	11160
152	4906	11128
153	4940	11099
154	4976	11076
155	5006	11040
156	5040	11012
157	5072	10980
158	5104	10947
159	5140	10922
160	5172	10891
161	5205	10861
162	5237	10828
163	5265	10787
164	5297	10755
165	5329	10724
166	5359	10686
167	5391	10654
168	5425	10625
169	5459	10598
170	5491	10566
171	5520	10528
172	5551	10493
173	5581	10456
174	5614	10426
175	5645	10393
176	5679	10363
177	5710	10330
178	5741	10295
179	5772	10261
180	5804	10229
181	5835	10195
182	5896	10213
183	5936	10196
184	5967	10160
185	5999	10127
186	6032	10097
187	6065	10066
188	6099	10036
189	6130	10003
190	6164	9972
191	6193	9934
192	6221	9896
193	6255	9866
194	6287	9834
195	6321	9804
196	6353	9771
197	6385	9739
198	6413	9700
199	6446	9669
200	6481	9642
201	6517	9615
202	6562	9601
203	6612	9594
204	6644	9561
205	6677	9530
206	6709	9497
207	6741	9463
208	6773	9430
209	6808	9402
210	6839	9368
211	6873	9336
212	6898	9295
213	6930	9262
214	6959	9225
215	6993	9195
216	7025	9162
217	7060	9133
218	7091	9099
219	7123	9066
220	7157	9035
221	7190	9004
222	7224	8973
223	7257	8942
224	7287	8907
225	7317	8872
226	7352	8842
227	7389	8815
228	7422	8784
229	7457	8754
230	7490	8722
231	7522	8689
232	7557	8660
233	7593	8631
234	7626	8599
235	7659	8568
236	7693	8537
237	7725	8504
238	7753	8467
239	7787	8435
240	7816	8399
241	7850	8369
242	7882	8336
243	7915	8304
244	7948	8272
245	7982	8242
246	8014	8209
247	8045	8175
248	8079	8144
249	8111	8111
250	8142	8077
251	8174	8044
252	8208	8014
253	8239	7979
254	8272	7948
255	8302	7912
256	8335	7881
257	8366	7847
258	8400	7816
259	8434	7786
260	8469	7755
261	8498	7720
262	8528	7684
263	8562	7654
264	8590	7618
265	8621	7583
266	8653	7551
267	8687	7520
268	8720	7488
269	8754	7457
270	8787	7425
271	8821	7394
272	8856	7364
273	8887	7330
274	8923	7301
275	8955	7268
276	8987	7235
277	9019	7202
278	9049	7168
279	9089	7141
280	9120	7107
281	9149	7072
282	9183	7041
283	9215	7009
284	9250	6978
285	9281	6944
286	9311	6910
287	9344	6878
288	9378	6847
289	9414	6817
290	9449	6786
291	9484	6756
292	9517	6724
293	9550	6691
294	9584	6660
295	9614	6626
296	9645	6592
297	9667	6553
298	9701	6521
299	9733	6488
300	9766	6457
301	9800	6425
302	9833	6393
303	9866	6361
304	9899	6329
305	9930	6296
306	9962	6262
307	9994	6230
308	10028	6198
309	10060	6165
310	10089	6131
311	10120	6098
312	10151	6065
313	10181	6031
314	10215	5999
315	10248	5967
316	10282	5935
317	10312	5902
318	10347	5871
319	10378	5837
320	10405	5802
321	10453	5778
322	10480	5743
323	10511	5709
324	10545	5678
325	10578	5646
326	10610	5613
327	10643	5581
328	10669	5545
329	10702	5513
330	10752	5489
331	10789	5459
332	10820	5426
333	10853	5394
334	10887	5362
335	10919	5329
336	10952	5297
337	10982	5263
338	11015	5231
339	11045	5197
340	11079	5166
341	11109	5132
342	11139	5098
343	11171	5066
344	11203	5033
345	11235	5000
346	11266	4967
347	11298	4935
348	11330	4902
349	11363	4870
350	11398	4838
351	11426	4804
352	11452	4769
353	11479	4734
354	11511	4701
355	11541	4668
356	11570	4634
357	11608	4604
358	11641	4572
359	11675	4540
360	11697	4503
361	11729	4471
362	11746	4433
363	11780	4401
364	11808	4367
365	11826	4329
366	11853	4295
367	11885	4263
368	11917	4230
369	11951	4199
370	11984	4166
371	12017	4134
372	12049	4102
373	12081	4070
374	12099	4033
375	12126	3999
376	12158	3966
377	12187	3933
378	12218	3900
379	12254	3869
380	12283	3836
381	12317	3804
382	12346	3771
383	12380	3740
384	12414	3708
385	12447	3676
386	12484	3645
387	12519	3613
388	12550	3581
389	12581	3548
390	12614	3516
391	12647	3484
392	12680	3452
393	12712	3420
394	12744	3387
395	12775	3355
396	12797	3320
397	12825	3286
398	12851	3253
399	12884	3221
400	12917	3189
401	12951	3157
402	12977	3123
403	13008	3091
404	13039	3058
405	13073	3026
406	13107	2994
407	13128	2960
408	13162	2928
409	13196	2896
410	13230	2865
411	13247	2829
412	13274	2796
413	13305	2764
414	13337	2731
415	13369	2699
416	13397	2666
417	13433	2635
418	13467	2603
419	13498	2571
420	13531	2539
421	13562	2506
422	13594	2474
423	13626	2442
424	13657	2410
425	13689	2377
426	13717	2345
427	13739	2311
428	13766	2278
429	13792	2245
430	13824	2213
431	13853	2180
432	13887	2148
433	13915	2116
434	13949	2084
435	13981	2052
436	14013	2020
437	14044	1988
438	14073	1955
439	14105	1923
440	14138	1891
441	14172	1859
442	14201	1827
443	14232	1795
444	14256	1762
445	14289	1730
446	14320	1697
447	14353	1665
448	14384	1633
449	14414	1601
450	14441	1569
451	14479	1537
452	14508	1505
453	14540	1473
454	14568	1440
455	14602	1409
456	14619	1375
457	14652	1343
458	14687	1311
459	14719	1279
460	14737	1246
461	14767	1214
462	14798	1182
463	14827	1150
464	14859	1118
465	14894	1086
466	14925	1054
467	14958	1022
468	14979	990
469	15011	958
470	15029	925
471	15061	893
472	15093	861
473	15126	829
474	15152	797
475	15183	765
476	15211	733
477	15242	701
478	15271	669
479	15303	637
480	15335	605
481	15370	573
482	15399	542
483	15435	510
484	15469	478
485	15497	446
486	15527	414
487	15559	382
488	15591	350
489	15624	318
490	15657	286
491	15683	255
492	15713	223
493	15744	191
494	15778	159
495	15809	127
496	15835	95
497	15869	63
498	15898	31
499	15931	0
